Emp ID,Absent,Late,Sick Leave,LOA,Emergency Leave,Maternity Leave,BL,Suspension,Attrition
DH02898,2,4,1,0,15,0,0,0,NO
DH02899,0,0,0,0,0,0,0,0,YES
DH02903,0,0,0,0,0,0,0,0,NO
DH02904,0,0,0,0,0,0,0,0,YES
DH02905,1,0,0,0,0,0,0,0,NO
DH02906,0,0,0,0,0,0,0,0,NO
DH02907,19,8,1,0,0,0,0,0,NO
DH02908,0,0,0,0,0,0,0,0,NO
DH02909,0,0,0,0,0,0,0,0,YES
DH02910,12,0,0,15,0,0,0,0,YES
DH02911,0,0,0,0,0,0,0,0,YES
DH02912,21,8,0,6,0,0,0,0,YES
DH02914,3,0,0,0,0,0,0,0,NO
DH02915,6,2,3,0,0,0,0,0,NO
DH02917,15,2,,4,0,0,0,0,YES
DH02918,10,6,4,0,0,0,0,0,YES
DH02919,11,1,0,0,0,0,0,0,YES
DH02920,13,0,0,0,0,0,0,0,YES
DH02921,7,0,0,0,0,0,0,0,YES
DH02922,11,17,0,0,0,0,0,0,NO
DH02923,1,2,0,0,0,0,0,0,YES
DH02927,0,0,0,0,0,0,0,0,NO
DH02928,8,0,0,0,0,0,0,0,YES
DH02935,7,1,0,0,0,0,0,0,YES
DH02936,2,0,0,0,0,0,0,0,NO
DH02937,0,1,0,0,0,0,0,0,NO
DH02938,1,0,1,13,0,0,0,0,NO
DH02939,5,2,0,5,0,0,0,0,YES
DH02940,4,5,3,0,0,0,0,0,NO
DH02945,0,0,0,0,0,0,0,0,NO
DH02951,0,0,0,0,0,0,0,0,NO
DH02952,7,2,0,7,0,0,0,0,YES
DH02953,0,0,0,0,0,0,0,0,YES
DH02954,11,0,0,0,0,0,0,0,YES
DH02955,15,0,2,13,0,0,0,0,NO
DH02956,15,0,1,0,0,0,0,0,NO
DH02957,0,0,0,0,0,0,0,0,YES
DH02958,12,1,4,0,0,0,0,0,YES
DH02959,7,1,0,0,0,0,0,0,NO
DH02960,7,0,1,1,0,0,0,0,YES
DH02961,9,0,0,10,0,0,0,0,YES
DH02962,9,1,1,0,0,0,0,0,NO
DH02963,11,3,0,0,0,0,0,0,YES
DH02965,0,2,2,0,0,0,0,0,NO
DH02967,2,0,0,0,0,0,0,0,NO
DH02968,18,2,0,6,0,0,0,0,NO
DH02971,1,1,0,0,0,0,0,0,NO
DH02972,0,0,0,0,0,0,0,0,NO
DH02973,1,5,0,0,0,0,0,0,NO
DH02974,0,0,0,0,0,0,0,0,YES
DH02975,10,1,2,0,0,0,0,0,YES
DH02976,1,7,0,0,0,0,0,0,YES
DH02979,0,0,0,0,0,0,0,0,YES
DH02980,10,0,0,11,0,0,0,0,YES
DH02982,0,0,0,0,0,0,0,0,NO
DH02987,7,10,0,8,0,0,0,0,NO
DH02988,0,0,0,0,0,0,0,0,NO
DH02989,3,0,1,0,0,0,0,0,YES
DH02990,0,0,0,0,0,0,0,0,YES
DH02991,0,0,0,0,0,0,0,0,NO
DH02994,1,0,0,0,0,0,0,0,NO
DH02996,0,0,0,0,0,0,0,0,NO
DH02997,4,1,1,0,0,0,0,0,NO
DH02998,0,1,0,0,0,0,0,0,NO
DH02999,0,2,0,0,0,0,0,0,NO
DH03000,6,0,4,6,0,0,0,0,YES
DH03001,6,0,2,0,0,0,0,0,NO
DH03002,0,0,0,0,0,0,0,0,NO
DH03003,1,1,0,0,0,0,0,0,NO
DH03004,0,0,0,0,0,0,0,0,NO
DH03005,0,0,0,0,0,0,0,0,NO
DH03006,0,0,0,0,0,0,0,0,NO
DH03007,0,0,0,0,0,0,0,0,YES
DH03008,0,0,1,0,0,0,0,0,NO
DH03009,0,0,0,0,0,0,0,0,NO
DH03018,0,0,0,0,0,0,0,0,YES
DH03023,2,12,1,0,0,0,0,0,NO
DH03024,2,6,5,4,2,0,0,0,NO
DH03025,3,0,2,0,0,0,0,0,YES
DH03026,1,1,0,0,0,0,0,0,NO
DH03028,6,8,3,0,1,0,0,0,NO
DH03030,2,0,5,0,0,0,0,0,NO
DH03031,0,3,0,0,0,0,0,0,NO
DH03032,2,0,1,0,0,0,0,0,NO
DH03033,4,0,1,0,0,0,0,0,YES
DH03035,1,1,0,0,0,0,0,0,NO
DH03036,0,0,0,0,0,0,0,0,YES
DH03041,0,0,0,0,0,0,0,0,NO
DH03042,5,1,0,0,0,0,0,0,YES
DH03043,1,0,0,0,0,0,0,0,NO
DH03044,3,0,0,0,0,0,0,0,NO
DH03045,0,0,0,0,0,0,0,0,NO
DH03046,0,0,0,0,0,0,0,0,NO
DH03047,4,0,0,0,0,0,0,0,NO
DH03049,0,0,0,0,0,0,0,0,NO
DH03050,5,0,0,0,0,0,0,0,YES
DH03051,2,3,0,3,0,0,0,0,NO
DH03052,1,0,0,16,0,0,0,0,NO
DH03053,2,0,0,0,0,0,0,0,YES
DH03055,0,1,0,0,0,0,0,0,NO
DH03056,0,0,0,0,0,0,0,0,YES
DH03057,0,6,0,0,0,0,0,0,NO
DH03060,16,0,0,0,0,0,0,0,YES
DH03061,3,0,0,0,0,0,0,0,NO
DH03065,0,3,0,0,0,0,0,0,NO
DH03066,10,0,3,7,0,0,0,0,NO
DH03067,0,0,0,0,0,0,0,0,NO
DH03068,0,2,0,0,0,0,0,0,NO
DH03069,0,3,0,0,0,0,0,0,NO
DH03070,0,0,0,0,0,0,0,0,NO
DH03071,0,1,0,0,0,0,0,0,NO
DH03072,2,3,1,0,0,0,0,0,NO
DH03073,0,0,0,0,0,0,0,0,NO
DH03074,0,0,0,0,0,0,0,0,NO
DH03075,0,1,0,0,0,0,0,0,NO
DH03076,2,1,0,0,0,0,0,0,NO
DH03077,0,0,0,0,0,0,0,0,NO
DH03078,0,0,0,0,0,0,0,0,NO
DH03079,2,0,0,0,0,0,0,0,NO
DH03080,0,0,0,0,1,0,0,0,NO
DH03081,0,0,1,0,0,0,0,0,NO
DH03082,0,0,0,0,0,0,0,0,NO
DH03083,4,0,0,0,0,0,4,0,NO
